"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 12- 23","489.63","490.32","490.96","489.40","254.50K","0.25%"
"2013- 12- 20","488.41","484.77","488.41","483.84","265.88K","0.88%"
"2013- 12- 19","484.17","489.83","490.22","483.32","275.57K","-0.30%"
"2013- 12- 18","485.65","486.83","489.26","483.81","291.93K","-0.10%"
"2013- 12- 17","486.15","490.89","491.60","486.15","282.71K","-0.42%"
"2013- 12- 16","488.19","495.75","496.16","488.19","276.80K","-1.25%"
"2013- 12- 13","494.36","495.98","496.18","491.07","269.03K","-0.26%"
"2013- 12- 12","495.64","492.31","496.00","492.29","283.53K","0.17%"
"2013- 12- 11","494.78","497.27","500.64","494.39","286.35K","-0.59%"
"2013- 12- 10","497.72","502.89","503.41","495.82","304.61K","-0.90%"
"2013- 12- 09","502.23","508.89","509.53","502.22","263.25K","-0.81%"
"2013- 12- 06","506.32","506.24","508.12","506.20","294.73K","0.00%"
"2013- 12- 05","506.32","507.32","508.30","504.70","247.18K","0.01%"
"2013- 12- 04","506.28","507.53","510.39","504.54","301.66K","-0.37%"
"2013- 12- 03","508.16","512.22","513.13","507.36","321.17K","-0.88%"
"2013- 12- 02","512.69","518.09","518.34","512.69","287.19K","-0.85%"
"2013- 11- 29","517.06","517.61","518.19","514.55","280.43K","0.30%"
"2013- 11- 28","515.52","514.41","515.75","513.82","299.59K","0.76%"
"2013- 11- 27","511.65","511.88","513.64","510.25","286.75K","0.22%"
"2013- 11- 26","510.54","509.04","510.57","507.15","259.41K","0.55%"
"2013- 11- 25","507.76","505.78","508.31","505.68","214.72K","0.73%"
"2013- 11- 22","504.06","503.89","504.86","502.89","265.97K","0.60%"
"2013- 11- 21","501.05","504.87","504.89","499.99","244.89K","-0.62%"
"2013- 11- 20","504.16","506.15","507.09","504.03","237.71K","-0.27%"
"2013- 11- 19","505.50","509.27","510.67","504.05","300.52K","-0.79%"
"2013- 11- 18","509.54","515.22","515.22","508.98","290.39K","-0.62%"
"2013- 11- 15","512.74","514.07","514.67","512.00","313.01K","0.19%"
"2013- 11- 14","511.75","509.35","511.89","506.85","275.82K","1.22%"
"2013- 11- 13","505.60","511.62","512.83","504.92","298.35K","-1.00%"
"2013- 11- 12","510.73","504.13","510.73","504.13","288.49K","1.55%"
"2013- 11- 11","502.94","517.37","517.92","502.44","364.34K","-2.48%"
"2013- 11- 08","515.74","517.02","521.06","515.61","311.36K","-0.94%"
"2013- 11- 07","520.65","527.91","527.91","520.21","344.48K","-1.02%"
"2013- 11- 06","525.99","528.75","529.89","525.89","319.36K","-0.52%"
"2013- 11- 05","528.73","535.00","535.22","528.24","326.61K","-0.92%"
"2013- 11- 04","533.64","536.21","536.46","533.63","310.69K","-0.21%"
"2013- 11- 01","534.74","533.90","534.87","533.41","366.45K","0.43%"
"2013- 10- 31","532.44","537.71","537.71","532.44","313.11K","-0.97%"
"2013- 10- 30","537.68","535.98","538.08","535.00","347.65K","0.71%"
"2013- 10- 29","533.91","535.90","536.19","533.47","328.17K","-0.20%"
"2013- 10- 28","534.98","536.38","536.77","533.96","331.98K","0.18%"
"2013- 10- 25","534.02","533.43","534.28","531.80","333.91K","0.56%"
"2013- 10- 24","531.03","526.21","531.04","524.36","323.13K","1.08%"
"2013- 10- 23","525.38","533.99","533.99","525.37","338.96K","-1.22%"
"2013- 10- 22","531.89","530.26","531.90","529.40","310.88K","0.48%"
"2013- 10- 21","529.34","527.97","529.39","526.71","286.35K","0.69%"
"2013- 10- 18","525.69","522.51","525.69","521.60","294.29K","0.80%"
"2013- 10- 17","521.52","530.09","530.15","519.93","347.54K","-0.79%"
"2013- 10- 16","525.68","534.90","535.49","524.55","411.64K","-1.40%"
"2013- 10- 15","533.12","534.28","535.32","532.50","363.01K","0.27%"
"2013- 10- 14","531.66","534.58","534.67","531.50","352.08K","-0.18%"
"2013- 10- 11","532.60","534.33","534.71","532.30","318.02K","0.67%"
"2013- 10- 10","529.04","528.50","531.45","528.50","304.39K","0.04%"
"2013- 10- 08","528.83","527.51","528.83","525.07","315.89K","0.07%"
"2013- 10- 07","528.44","533.79","534.56","528.43","300.74K","-0.67%"
"2013- 10- 04","532.01","531.68","532.94","527.88","287.15K","0.00%"
"2013- 10- 02","532.02","534.26","534.83","531.79","288.87K","0.31%"
"2013- 10- 01","530.35","534.09","536.01","524.86","352.73K","-0.85%"
"2013- 09- 30","534.89","538.00","538.00","534.49","297.05K","-0.49%"
